,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
0,5.551115123125783e-17,1.1102230246251565e-16,1.3877787807814457e-17,3.469446951953614e-18,2.7755575615628914e-17,-1.6653345369377348e-16,2.498001805406602e-16,-2.7755575615628914e-17,-1.5265566588595902e-16,-2.255140518769849e-16,3.469446951953614e-17,2.8449465006019636e-16,1.3877787807814457e-16,-5.368969158148218e-16,0.7758670329053637,-0.20267791294406254
1,-0.09797953023297219,-0.0872459532097035,0.4655651535617141,0.26063980570956885,0.19430395739070708,-0.16551109129088623,-0.134039062484797,0.009532936012242003,-0.1790378347585229,0.11172924448863367,0.26719418141561807,0.47067349365268674,-0.1610520665162779,0.038688909858148955,0.0031300056402528906,-0.008243293595198008
2,-0.09958655547081235,0.3870113063745169,-0.14709961433968466,0.17322413229776223,-0.18480555587255643,0.09364015254342384,0.17027145686067333,0.006212202877346522,0.06461468216016726,0.20524261392625098,0.1355177794581906,0.12949667921522884,-0.02849176621507639,0.21716335736066145,0.1280406202773822,0.32761811955182313
3,0.4003942540067839,0.018215541352007467,0.0051658247161899574,-0.22431674769419546,0.11286666933685534,-0.15960250288185154,0.08752953637050134,-0.13256472217881604,0.17833736985973178,0.11431702520636597,-0.2048053995845166,0.09254023621940632,-0.047580349521950026,0.022153929272209574,0.3447466146051439,-0.1891357802760398
4,3.469446951953614e-18,3.469446951953614e-18,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-17,-5.551115123125783e-17,-5.551115123125783e-17,-4.163336342344337e-17,2.914335439641036e-16,-2.220446049250313e-16,1.6653345369377348e-16,2.7755575615628914e-17,-5.551115123125783e-17,-6.800116025829084e-16,0.30513132426294615,0.20921695469847632
5,0.12059776379134537,-0.32795714063453046,0.037833413613570455,0.10801613970858277,0.11879869746432362,0.16794595861615197,-0.08626512448546281,0.03654090274449971,-0.040268630129118334,0.18357264826893538,-0.12546257848163284,-0.15189988534960044,-0.02422939981312882,0.09394065857813833,0.20663085567001582,0.28743264001217267
6,-0.12059776379134537,0.32795714063453046,-0.03783341361357043,-0.10801613970858297,-0.11879869746432359,-0.16794595861615164,0.0862651244854622,-0.03654090274449989,0.04026863012911868,-0.183572648268935,0.12546257848163325,0.15189988534960072,0.024229399813128397,-0.09394065857813763,0.038291588746957456,0.16165839683636252
7,-0.09968316923628726,0.2314158260195177,0.5029515672318872,-0.38675346205324246,-0.16940447255429975,0.4049776703229084,-0.09553453344554816,0.10296774445843059,-0.17565646661439066,-0.13058090462996144,-0.40476900823594897,0.08744948317066688,-0.006188687019067377,0.31954223615488725,-2.7755575615628914e-17,1.1102230246251565e-16
8,0.07130939452557344,0.1636066578723121,0.10688632131457355,0.1394145271243143,0.3588770602476783,-0.033994643398048356,0.2845760370437224,-0.39736386241567323,-0.29197506743397345,-0.18869802179586834,-0.12089366430552717,-0.35444988929681415,0.09894442370594364,0.0588956727122979,-0.12980513538840918,-0.12025445962908146
9,-0.14456854475642245,0.3662405466516401,0.02430740976675726,0.315705380107427,0.4545956005276824,0.08224745827825694,-0.35554582083139963,0.17701924076441308,0.44857970666191627,-0.03532730257864318,-0.3480560441542273,0.002171635382057535,0.09861833543079185,-0.20047827922520037,-1.1102230246251565e-16,1.6653345369377348e-16
10,0.2692768403620624,0.071221616383086,0.07092073362214495,-0.1911307506241481,0.08363276525924858,0.22953773558732185,-0.37099365399974243,-0.26327976502673517,0.13392968628653407,-0.2517501686302184,0.46111290876884076,-0.036882623996416675,0.18163191866043915,-0.014731680075311138,0.0003207965105297833,-0.2406895862956005
11,0.2523947809485627,0.35497056987231396,0.3263417560658183,0.11091066104330329,-0.10914504463292027,-0.10530255383609637,0.3384350523420952,0.038959636018368146,0.18832909831556865,0.2517310090295919,0.11366486760494762,-0.20739774287589396,0.025322322621581947,0.014097984928184513,-0.04035339864433472,-0.09538616548026849
12,0.22746269489630971,-1.0114079716599944e-05,0.15775587202420444,0.39760773022264684,-0.22848381003398976,-0.3540334061066995,-0.2776540644813033,-0.3088122031349239,-0.09947896912073617,-0.1128003353339229,-0.20760972889280394,0.20867263828283847,0.0624057002919854,0.2282983086786506,-0.0031300056402529947,0.008243293595197796
