Taxa,Cluster
1,10
2,8
3,8
4,9
5,9
6,3
7,3
8,7
9,5
10,5
11,5
12,5
13,1
14,1
15,1
16,1
17,13
18,6
19,6
20,10
21,11
22,11
23,2
24,1
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,3
33,12
34,6
