Taxa,Cluster
Fco,1
Fsi,1
Hfo,3
Hli,3
Hma,3
Hpa,3
Pal,4
Ssc,3
Sba,2
Sfo,2
Sgu,2
Sco,2
Spa,2
Sla,2
Sve,2
Svi,2
